,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
112,112.0,Costa Rica,930,12.0,10.0,0.0,620.0,300.0,3.0,183.0,2.0,23378.0,4593.0,5089461.0
113,113.0,Zambia,920,0.0,7.0,0.0,336.0,577.0,1.0,50.0,0.4,20011.0,1092.0,18327041.0
114,114.0,Haiti,865,53.0,26.0,1.0,22.0,817.0,0.0,76.0,2.0,2718.0,239.0,11388384.0
115,115.0,Paraguay,862,12.0,11.0,0.0,307.0,544.0,0.0,121.0,2.0,24812.0,3483.0,7123619.0
116,116.0,Burkina Faso,814,0.0,52.0,0.0,672.0,90.0,0.0,39.0,2.0,0.0,0.0,20840103.0
117,117.0,Uruguay,769,5.0,22.0,0.0,618.0,129.0,5.0,221.0,6.0,38146.0,10985.0,3472561.0
118,118.0,Andorra,762,0.0,51.0,0.0,653.0,58.0,3.0,9864.0,660.0,3750.0,48542.0,77253.0
119,119.0,Georgia,730,2.0,12.0,0.0,522.0,196.0,6.0,183.0,3.0,48565.0,12172.0,3989889.0
120,120.0,Diamond Princess,712,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
121,121.0,Jordan,708,4.0,9.0,0.0,471.0,228.0,5.0,69.0,0.9,163173.0,16008.0,10192951.0
122,122.0,Sierra Leone,707,86.0,40.0,1.0,241.0,426.0,0.0,89.0,5.0,0.0,0.0,7959753.0
123,123.0,Chad,675,27.0,60.0,0.0,215.0,400.0,0.0,41.0,4.0,0.0,0.0,16373575.0
124,124.0,San Marino,665,0.0,42.0,0.0,266.0,357.0,1.0,19603.0,1238.0,3968.0,116967.0,33924.0
125,125.0,South Sudan,655,0.0,8.0,0.0,6.0,641.0,0.0,59.0,0.7,3356.0,300.0,11180404.0
126,126.0,Malta,610,1.0,6.0,0.0,476.0,128.0,1.0,1382.0,14.0,60812.0,137762.0,441429.0
127,127.0,CAR,604,52.0,1.0,0.0,22.0,581.0,0.0,125.0,0.2,11570.0,2400.0,4820985.0
128,128.0,Nepal,603,19.0,3.0,0.0,87.0,513.0,0.0,21.0,0.1,138841.0,4774.0,29081827.0
129,129.0,Ethiopia,582,88.0,5.0,0.0,152.0,425.0,0.0,5.0,0.04,81010.0,707.0,114654045.0
130,130.0,Channel Islands,558,0.0,45.0,0.0,517.0,-4.0,0.0,3212.0,259.0,10255.0,59038.0,173702.0
131,131.0,Jamaica,550,6.0,9.0,0.0,200.0,341.0,1.0,186.0,3.0,9923.0,3352.0,2959906.0
132,132.0,Madagascar,527,39.0,2.0,0.0,142.0,383.0,6.0,19.0,0.07,5670.0,205.0,27613258.0
133,133.0,Tanzania,509,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59545671.0
134,134.0,Congo,487,0.0,16.0,0.0,147.0,324.0,0.0,88.0,3.0,0.0,0.0,5503335.0
135,135.0,Réunion,452,0.0,1.0,0.0,411.0,40.0,2.0,505.0,1.0,17200.0,19225.0,894679.0
136,136.0,Taiwan,441,0.0,7.0,0.0,414.0,20.0,0.0,19.0,0.3,70697.0,2969.0,23812627.0
137,137.0,Palestine,423,0.0,3.0,0.0,357.0,63.0,0.0,83.0,0.6,44876.0,8819.0,5088625.0
138,138.0,Togo,381,8.0,12.0,0.0,141.0,228.0,0.0,46.0,1.0,16747.0,2028.0,8257779.0
139,139.0,Cabo Verde,380,9.0,3.0,0.0,155.0,222.0,0.0,684.0,5.0,1307.0,2353.0,555377.0
140,140.0,Isle of Man,336,0.0,24.0,0.0,303.0,9.0,2.0,3953.0,282.0,4523.0,53219.0,84989.0
141,141.0,Mauritius,334,2.0,10.0,0.0,322.0,2.0,0.0,263.0,8.0,102247.0,80410.0,1271565.0
142,142.0,French Guiana,328,49.0,1.0,0.0,145.0,182.0,0.0,1101.0,3.0,0.0,0.0,297835.0
143,143.0,Rwanda,327,2.0,0.0,0.0,237.0,90.0,0.0,25.0,0.0,58477.0,4527.0,12917314.0
144,144.0,Vietnam,325,1.0,0.0,0.0,267.0,58.0,2.0,3.0,0.0,275000.0,2828.0,97250965.0
145,145.0,Montenegro,324,0.0,9.0,0.0,315.0,0.0,0.0,516.0,14.0,10167.0,16188.0,628058.0
146,146.0,Nicaragua,279,0.0,17.0,0.0,199.0,63.0,0.0,42.0,3.0,0.0,0.0,6616547.0
147,147.0,Liberia,265,10.0,26.0,0.0,139.0,100.0,0.0,53.0,5.0,0.0,0.0,5044844.0
148,148.0,Sao Tome and Principe,251,0.0,8.0,0.0,4.0,239.0,0.0,1148.0,37.0,175.0,800.0,218731.0
149,149.0,Eswatini,250,12.0,2.0,0.0,156.0,92.0,0.0,216.0,2.0,4994.0,4309.0,1158954.0
150,150.0,Mauritania,237,10.0,6.0,0.0,15.0,216.0,0.0,51.0,1.0,2583.0,557.0,4636268.0
151,151.0,Yemen,222,10.0,42.0,3.0,10.0,170.0,0.0,7.0,1.0,120.0,4.0,29755574.0
152,152.0,Myanmar,201,0.0,6.0,0.0,122.0,73.0,0.0,4.0,0.1,18644.0,343.0,54373757.0
153,153.0,Uganda,198,0.0,0.0,0.0,68.0,130.0,0.0,4.0,0.0,84975.0,1864.0,45578341.0
154,154.0,Martinique,197,0.0,14.0,0.0,91.0,92.0,0.0,525.0,37.0,0.0,0.0,375293.0
155,155.0,Mozambique,194,26.0,0.0,0.0,51.0,143.0,0.0,6.0,0.0,8463.0,272.0,31158631.0
156,156.0,Benin,191,56.0,3.0,0.0,82.0,106.0,0.0,16.0,0.2,27954.0,2312.0,12088427.0
157,157.0,Faeroe Islands,187,0.0,0.0,0.0,187.0,0.0,0.0,3828.0,0.0,9178.0,187901.0,48845.0
158,158.0,Guadeloupe,161,5.0,14.0,1.0,115.0,32.0,3.0,402.0,35.0,3573.0,8930.0,400117.0
159,159.0,Gibraltar,154,2.0,0.0,0.0,147.0,7.0,0.0,4571.0,0.0,6524.0,193636.0,33692.0
160,160.0,Brunei,141,0.0,1.0,0.0,137.0,3.0,2.0,323.0,2.0,18411.0,42125.0,437059.0
161,161.0,Mongolia,141,0.0,0.0,0.0,32.0,109.0,25.0,43.0,0.0,12407.0,3791.0,3272806.0
162,162.0,Guyana,135,8.0,10.0,0.0,62.0,63.0,2.0,172.0,13.0,1457.0,1853.0,786181.0
163,163.0,Bermuda,133,5.0,9.0,0.0,81.0,43.0,2.0,2135.0,144.0,6362.0,102120.0,62299.0
164,164.0,Cayman Islands,129,0.0,1.0,0.0,61.0,67.0,0.0,1965.0,15.0,8426.0,128359.0,65644.0
165,165.0,Cambodia,124,0.0,0.0,0.0,122.0,2.0,1.0,7.0,0.0,16416.0,983.0,16695214.0
